                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0981,                 3.7246,                 2.4582,                 0.3284,                0.43534,                0.30647,                0.11666,                 2.2054,                 2.8528,                 2.5162,             0.00055274,             0.00055274,             0.00055274
                      2,                   2.26,                 2.3352,                 1.8934,                 0.5392,                0.46448,                0.48531,                0.21442,                 2.0179,                 2.7067,                 1.8562,              0.0010974,              0.0010974,              0.0010974
                      3,                 2.0779,                 2.0606,                 1.7025,                0.65361,                 0.6393,                0.70156,                0.34151,                 1.7492,                 2.2353,                 1.6137,              0.0016311,              0.0016311,              0.0016311
                      4,                 1.9836,                  1.904,                 1.6127,                0.58592,                0.57195,                 0.5956,                 0.2382,                  1.893,                 1.8302,                 1.6185,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9475,                 1.8031,                 1.5798,                0.65466,                0.64918,                 0.6986,                0.37864,                 1.7059,                 1.5483,                 1.4614,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.9047,                 1.7027,                 1.5495,                0.75917,                0.71585,                0.81052,                0.44229,                 1.6384,                 1.5513,                 1.4643,               0.001601,               0.001601,               0.001601
                      7,                   1.87,                 1.6206,                 1.5154,                0.74701,                0.74499,                0.80953,                0.40926,                 1.7335,                 1.4654,                 1.4872,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.8805,                 1.6593,                 1.5018,                0.75149,                0.67942,                 0.7791,                0.36823,                 1.7344,                 1.4327,                 1.4692,               0.001568,               0.001568,               0.001568
                      9,                 1.8272,                 1.5532,                 1.4705,                 0.7748,                0.73953,                0.81615,                0.36688,                 1.8479,                 1.3674,                 1.5473,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.836,                 1.5337,                 1.4665,                0.77655,                 0.7533,                0.83068,                0.45512,                 1.6262,                 1.2301,                  1.436,               0.001535,               0.001535,               0.001535
                     11,                 1.8153,                 1.5594,                  1.457,                0.73508,                0.66485,                0.76261,                0.41623,                 1.6991,                  1.273,                  1.496,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.8245,                 1.5028,                   1.45,                0.75001,                0.72136,                0.79813,                0.42146,                 1.6597,                 1.2237,                 1.4264,               0.001502,               0.001502,               0.001502
                     13,                  1.823,                 1.4662,                 1.4698,                0.85065,                0.73661,                0.86108,                0.47213,                 1.5766,                 1.1633,                  1.389,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.8038,                 1.4558,                 1.4403,                0.79746,                0.77231,                0.85754,                0.46463,                 1.6126,                 1.4661,                 1.4205,               0.001469,               0.001469,               0.001469
                     15,                 1.7719,                 1.3985,                 1.4125,                0.78989,                0.82857,                0.88341,                0.50705,                 1.4917,                 1.2891,                 1.3332,              0.0014525,              0.0014525,              0.0014525
                     16,                  1.766,                 1.3938,                 1.4098,                0.77615,                0.76138,                0.85483,                0.47417,                 1.5439,                 1.1092,                 1.3701,               0.001436,               0.001436,               0.001436
                     17,                 1.7743,                 1.4247,                  1.425,                0.77088,                0.75046,                0.83556,                 0.4525,                 1.5549,                   1.22,                 1.3654,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.7464,                 1.3813,                 1.4014,                0.82842,                0.75774,                 0.8609,                 0.4942,                  1.478,                 1.1552,                 1.3155,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.7342,                 1.3936,                   1.41,                0.75786,                0.69035,                0.79222,                0.44719,                 1.5273,                 1.1494,                 1.3578,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7404,                 1.3114,                  1.392,                 0.7645,                0.76685,                0.83241,                0.48658,                 1.4427,                 1.1181,                 1.3188,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7422,                 1.3367,                 1.4072,                0.78477,                0.76138,                0.85841,                0.47492,                 1.4524,                 1.0862,                 1.3105,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.7186,                 1.3615,                 1.3956,                0.83552,                0.76799,                0.86711,                0.48315,                 1.5148,                 1.0855,                 1.3494,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.7318,                 1.3462,                 1.3996,                0.79958,                0.74851,                0.82641,                0.43277,                   1.61,                 1.2384,                 1.3941,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.7217,                 1.2941,                 1.3861,                0.82687,                0.76503,                 0.8808,                0.51349,                 1.4347,                 1.0412,                 1.2932,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.7143,                 1.3216,                 1.3779,                0.82352,                0.78199,                0.87894,                0.51119,                 1.4437,                 1.0203,                 1.3145,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.6911,                 1.3066,                 1.3685,                0.68018,                0.68488,                0.77944,                0.43325,                 1.5235,                 1.2037,                 1.3307,              0.0012709,              0.0012709,              0.0012709
                     27,                  1.688,                 1.3141,                 1.3558,                0.81814,                0.70472,                0.83312,                0.50019,                 1.4523,                 1.0786,                 1.3004,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.6898,                 1.2809,                 1.3624,                0.78235,                0.81967,                0.86329,                0.46736,                  1.544,                 1.1701,                 1.3574,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.6668,                 1.2792,                 1.3479,                0.79162,                0.77231,                0.85636,                0.51359,                 1.4196,                 1.0149,                 1.2884,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.6577,                 1.2376,                 1.3524,                0.83469,                0.82514,                0.90086,                0.54789,                 1.3838,                0.98425,                 1.2668,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.6816,                  1.271,                  1.366,                0.83757,                0.77957,                0.86709,                0.48812,                 1.4454,                  1.054,                 1.3099,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.6673,                 1.2797,                  1.362,                0.79545,                0.83242,                0.87196,                 0.5021,                 1.4699,                 1.0917,                 1.3061,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.6914,                 1.2978,                 1.3665,                0.85625,                0.78324,                0.89575,                0.54595,                 1.3679,                0.96344,                 1.2683,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.6646,                 1.2551,                 1.3531,                0.81283,                0.81474,                0.88422,                0.51592,                 1.4322,                 1.1404,                 1.2986,              0.0011389,              0.0011389,              0.0011389
